#,id,contactName,voucherNumber,voucherDate,totalAmount,_tax_rates,voucherStatus,_category
119,e43452f4-0547-4303-b926-72cc41dee325,Ionos Se,100179449275,2026-01-19T00:00:00.000+01:00,5.0,19%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
120,17af16bc-338b-4307-a43d-8109dc7e00f2,"Aldi Se & Co. Kg.,",0325,2026-01-19T00:00:00.000+01:00,25.44,7%,paid,Material/Waren > Wareneinkauf
121,19c626e2-6f34-4522-bcee-25efbe545386,Vodafone GmbH,101196769459,2026-01-19T00:00:00.000+01:00,71.28,19%,paid,Telekommunikation > Internet
122,95a7a1f2-f9b5-4fb6-af32-4693ce0b22c3,Ströer Deutsche Städte Medien GmbH,6906516904,2026-01-18T00:00:00.000+01:00,260.61,19%,paid,Werbung > Anzeigen Print- und Online
123,c5105df5-d22f-4e9e-8ead-3c7fa12eac24,Metro Deutschland GmbH,17. 01. 2026/658/0/0/0521/002049,2026-01-17T00:00:00.000+01:00,149.94,7% / 19%,paid,Material/Waren > Wareneinkauf
124,11426b84-9165-4f2d-a97b-ac5961396cc8,Star Tankstelle,483,2026-01-16T00:00:00.000+01:00,86.01,19%,paid,Fahrzeug > Kraftstoff/Ladestrom
125,01def409-2e59-4b11-9394-815c66e96f80,Lidl sagt Danke,8005,2026-01-15T00:00:00.000+01:00,14.91,7%,paid,Material/Waren > Material/Waren
126,a319d092-34ab-4267-a657-d4213eb33564,Google Commerce,358840222267348-6,2026-01-15T00:00:00.000+01:00,21.99,19%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
127,bfb2879e-7023-4874-81c3-a87bebd73216,Metro Deutschland GmbH,15. 01. 2026/658/0/0/0521/001576,2026-01-15T00:00:00.000+01:00,151.97,7% / 19%,paid,Material/Waren > Wareneinkauf
128,02a1737f-aad1-43c1-907d-e1b3155b9622,Lidl sagt Danke,8005,2026-01-15T00:00:00.000+01:00,14.91,7%,paid,Material/Waren > Wareneinkauf
129,3c84648f-cf18-44d4-b120-c021c9141cb4,Metro Deutschland GmbH,13. 01. 2026/658/0/0/0521/001278,2026-01-13T00:00:00.000+01:00,212.15,7% / 19%,paid,Material/Waren > Wareneinkauf
130,d876403d-a99a-43bc-be6e-6eea5df04759,Lidl,2476,2026-01-13T00:00:00.000+01:00,34.6,7% / 19%,paid,Material/Waren > Wareneinkauf
131,61c0cecd-2317-4eb5-8632-cd97d48b87eb,Freenet Dls GmbH,M26002512219,2026-01-12T00:00:00.000+01:00,14.99,19%,paid,Telekommunikation > Festnetz
132,29d842fb-be09-4465-a2f5-deab3973928a,Freenet Dls GmbH,M26002832659,2026-01-12T00:00:00.000+01:00,14.99,19%,paid,Telekommunikation > Festnetz
